21319338:亚丽莎,2;小说家,1;理智,1;病人,1;狩猎者,1;
1292699:波洛,66;,46;侦探,46;凶手,42;东方快车,35;
1293027:戈达尔,81;],50;受难记,34;激情,27;」,25;
4881604:回马枪,71;任达华,56;女儿,34;画,33;笑,33;
2334858:少年,21;西班牙,14;eta,12;xabi,12;老叔,10;
2074616:米,24;瑙,24;教徒,19;宗教,17;女人,17;
1301311:日本,48;渚,29;大岛,29;春歌,26;政治,20;
2284481:简,238;女人,131;爱情,129;生活,129;奥斯汀,119;
1306885:生活,70;由美子,61;丈夫,59;光,54;,52;
1297203:安娜,97;马克,69;魔鬼,54;阿佳妮,46;爱,39;
6839145:铁,201;线虫,201;灾难,190;韩国,171;入侵,126;
3104216:厨房,43;男主角,32;餐馆,30;生活,29;餐厅,26;
1849325:酸,4;甜,4;酸甜,3;二,3;贾,3;
4253410:中国,44;远征军,39;梅姆瑞,33;少校,32;邓康延,24;
6029589:以色列,71;犹太人,40;阿拉法特,39;巴勒斯坦,36;美国,28;
4905788:父亲,12;男主角,11;男孩子,6;女孩子,6;中间,3;
1303366:二战,4;意大利,4;拔牙,4;牙医,3;迦,2;
1296157:墙,565;pink,534;in,324;———,290;wall,236;
2056275:de,8;en,7;y,6;su,6;que,6;
4265402:初恋,16;风暴,14;尿,12;陈妍希,9;台湾,8;
1307644:爱情,4;伯爵,3;已是,2;渐,2;喝,2;
1459673:理想,17;韩国,14;元,13;青燕,11;女人,11;
3001142:恩,64;洙,55;爱,52;童话,45;世界,34;
1300840:,1528;,686;妈妈,96;麽,96;什,72;
2064947:上路,7;旅行,7;世界,4;男人,4;女孩,4;
1437419:法国,7;美国,5;总统,5;诺曼底,4;(,4;
1304476:独立,280;杨德昌,278;时代,262;琪琪,238;生活,222;
6097776:工作,24;警员,22;警察,21;生活,21;儿童,19;
1750027:陪审团,118;jackie,89;杰基,87;法庭,87;正义,63;
10441575:俄罗斯,27;活着,27;母亲,19;生父,17;女儿,14;
2004813:以色列,57;诺姆,41;ashraf,38;爱,35;爱情,32;
1307364:吴镇宇,8;演技,6;剧中,5;变态,4;杀手,2;
10427340:各种,8;烂,6;绝对,4;成本,4;特效,4;
1297671:裁判,2;大学,2;鲨鱼,2;教头,2;94年,2;
1468710:黛,241;安,221;diane,110;生活,97;arbus,95;
1309058:女儿,28;母亲,26;妈妈,26;恐怖,15;鬼,15;
20443571:洛克,399;王国,304;龙,205;心愿,185;圣,185;
1294011:黄飞鸿,42;赵文卓,16;王者,16;风,15;李连杰,15;
1297710:爱情,174;爱,159;天,157;jojo,148;若有情,124;
20451530:由,3;看得,2;相爱,2;结婚,2;脱离现实,2;
2347205:它们,15;她们,14;且,8;智齿,7;手套,5;
1463390:南征北战,11;敌人,11;大踏步,10;创作,9;思想,7;
4073771:呆,10;地球,9;外星人,9;爱,7;果然,6;
3244505:生活,48;女人,47;地铁,45;男人,43;爱情,30;
1919626:甘地,72;印度,55;－,30;中国,17;女主播,16;
1308827:太医,6;爱情,6;沈梦溪,6;公主,5;臭,4;
1292843:黄飞鸿,18;中国,7;系列,6;民族主义,5;美国,5;
6523152:警察,14;变态,5;兄妹,5;丝,4;谎称,4;
6859585:上面,2;一般,2;力,2;fender,2;这次,2;
10600877:魅影,178;子爵,60;音乐,49;爱,48;版,42;
1297540:emma,144;爱玛,143;mr,129;先生,116;利,90;
1298947:*,170;催眠,148;$,57;猴子,51;绿,49;
1438649:巴西,13;童年,10;那首歌,5;【,5;】,5;
4817852:鱼肉,8;人鱼,7;可怕,3;為,3;鱼,3;
3542050:www,3;http,3;老头,2;open,2;darwin,2;
1870004:_,154;爱情,29;爱,25;小璐,22;思念,21;
2245732:女主角,30;兰花,8;使得,8;男孩,6;朋友,6;
1293945:鲍里斯,26;爱,18;拿破仑,15;索嘉,11;love,10;
1397550:爸爸,145;父亲,121;冯小刚,104;马林生,103;王朔,95;
3226855:芭比娃娃,6;好听,3;芭比,3;公主,2;诱惑,2;
3992381:女儿,151;教授,132;饶恕,97;复仇,83;韩国,81;
1422063:儿,237;ff,170;ン,170;デ,150;ゼ,149;
1300050:德,33;法斯宾,33;母亲,27;中国,25;轮盘,24;
3040026:大爷,119;靖,99;老人,69;老主顾,38;剃头,36;
1441030:daniel,40;johnston,32;音乐,11;精神,10;魔鬼,10;
5046033:奥达,73;石油,48;信仰,43;世界,41;阿拉伯,40;
1308881:	,59;imdb,18;√,9;kubrick,8;斯坦利,5;
2133483:新纳粹,26;纳粹,26;俄罗斯,15;法国,15;美国,13;
2030736:式,1;心,1;愚民,1;恶性循环,1;母者,1;
1867332:上帝,184;方舟,66;天神,54;机会,53;冒牌,52;
1478042:is,18;in,18;火车,14;爱情,12;东方快车,10;
1298382:黄飞鸿,17;笑,4;谭咏麟,3;形象,3;癫狂,3;
1296475:r,85;先生,80;生活,23;妻子,19;杀人,16;
1796232:可爱,27;恋爱,27;小泉,21;身高,21;大谷,18;
2976072:爱,286;夜,220;美奈,160;奈特,149;人格,111;
3420455:生活,226;文耀,171;贱,169;2,119;恶搞,111;
4241878:动画片,2;f,1;漫画,1;搜到,1;乱马,1;
5948612:妞,11;小胖,11;爱,5;女生,4;改变,4;
3239814:男人,12;jack,11;杰克,8;混蛋,7;老大,7;
1437554:真气,2;回忆,2;kiss,2;当年,2;从来,1;
3744545:漂亮,67;女人,63;duroy,54;五方,47;爱,47;
6395454:犹太人,26;法国,21;纳粹,18;波兰,14;乔安娜,14;
1292286:牵牛,380;爱,329;爱情,288;野蛮女友,260;全智贤,191;
1385567:香港,10;叔,7;卢冠廷,7;唐书琛,5;彪,4;
3703290:少女,17;」,15;「,15;莉,14;萝,14;
1301676:原著,70;凯瑟琳,53;版,40;呼啸山庄,25;爱,25;
1393470:可爱,10;血腥,10;死亡,8;动物,8;动画,7;
1937190:helvetica,230;字体,196;设计,86;设计师,69;使用,39;
1797810:琼瑶,9;爱情,7;本来,4;小说,4;阿姨,4;
1300565:怎样,5;真爱,4;感情,3;爱,3;选择题,2;
1304749:ä,18;that,18;is,17;in,17;film,14;
1296787:james,15;作家,12;|,9;编辑,9;grady,9;
2326675:小说,12;桐,7;院,7;见,5;动画,5;
1436769:’,25;é,18;de,12;l,10;je,10;
1397184:生活,92;holden,43;贾斯汀,41;justin,36;贾丝廷,31;
3009163:瓦伦蒂,26;路易莎,23;意大利,16;政治,15;法西斯,15;
10567087:幸福,739;迷途,182;生活,89;爱情,56;社会,48;
1295646:us,110;men,103;世界,102;we,81;卓别林,80;
1293737:in,7;who,6;which,5;is,5;女主角,4;
1300713:悬念,1;尤其,1;e,1;穿甲弹,1;反派,1;
3018065:sanzio,17;女儿,16;父亲,14;母亲,11;侦探,11;
3144512:leyla,133;tala,117;爱,85;她们,46;生活,34;
1309069:蝙蝠侠,832;恐惧,336;英雄,230;布鲁斯,223;蝙蝠,146;
5289355:奋斗,4;漫画,4;东奔,4;希望,3;金鱼,3;
1892399:世界,13;子宫,11;人类,10;婴儿,9;胎儿,9;
4171711:两只,4;巴拉,3;c,3;总之,3;错过,2;
2081647:女性,14;女权主义,11;社会,10;中国,9;女人,9;
1298550:爱,8;新闻,7;爱情,7;死去,6;活着,6;
3007808:代表,9;儿童,9;成人,7;鼻涕,6;社会,5;
3436040:恐怖片,6;恐怖,4;不少,3;且,3;棺材,3;
6515649:表情,6;步步,4;期待,3;从来,2;主题,2;
2256038:子弹,18;特技,16;中国,14;题材,12;犯人,12;
1466007:世界,1687;寂静岭,1341;游戏,630;阿莱莎,628;怪物,476;
1482354:,76;贞,21;子,21;科学,14;午夜凶铃,9;
1292207:奥斯卡,871;鼓,362;铁皮,306;世界,227;母亲,206;
5913516:善,11;文化,11;传统,8;歌舞伎,8;生活,8;
1951220:父亲,118;blake,45;爸爸,22;he,20;when,19;
1301390:nick,9;老版,9;udo,7;新版,6;death,5;
3578732:天,6;苗,5;蔡明亮,4;苗天,4;修复,3;
20411136:46,1;表示,1;男子,1;edf,1;绑架案,1;
3731600:世界,19;jlh,16;咖啡馆,14;～,11;胖子,9;
1299499:爱情,4;爱,4;爱情片,3;水平,2;普通,2;
1951175:拳,137;霸,124;托尼,118;贾,98;动作,76;
1306733:周星星,4;抽,3;仔,3;乡下,2;第一次,2;
1369759:关锦鹏,33;同性恋,21;中国,17;性别,14;男人,12;
11583989:博士,15;人性,8;爱,8;歷,7;神秘,6;
3603169:c,2;法网,1;当前,1;债务,1;时机,1;
1457217:哈利,844;魔法,382;哈,352;特,322;哈利波,318;
2998340:上帝,102;魔鬼,101;魔,100;驱,94;信仰,91;
10573695:太极,681;2,265;功夫,256;杨露禅,149;中国,130;
6793339:自然,3;金基德,3;而言,3;表达,2;咖,2;
5286801:姐姐,74;兔子,68;大悟,63;人格,63;桐子,56;
2003397:erik,37;出版,25;君,24;爱情,23;书,22;
2027985:爱情,6;為,3;麼,3;间,3;写实,2;
5907534:生活,11;站,4;街,4;毒品,3;黑暗,3;
1840177:#,176;弟弟,16;妈妈,16;母亲,14;京,12;
1353745:迈特,309;夏,292;帕特丽,270;米歇尔,160;戈达尔,147;
4313109:韩国,295;日本,271;俊,243;战争,235;植,208;
11589771:表达,3;开,3;作者,3;希望,2;努力,2;
1818751:印度,32;爱情,27;爱,23;校长,17;女儿,17;
1294619:她们,39;日本,24;女人,12;音乐,11;战争,11;
4062922:香港,182;tvb,177;笑,135;张学友,130;租客,123;
1298241:比利,25;cagney,15;james,14;刘别谦,9;otto,8;
1307106:无间道,223;韩琛,140;倪永孝,136;黄,132;sir,118;
1291587:摩西,305;埃及,208;神,161;法老,98;西斯,86;
1305565:怎样,4;有趣,3;越是,3;日本,3;一群,3;
1305615:嘉宝,64;女王,61;吉尔伯特,17;爱情,16;瑞典,15;
6828095:动作,6;跆拳道,5;功夫,5;动作片,4;成龙,3;
3769443:父亲,47;学术,20;研究,20;shkolnik,20;父子,17;
7154463:～,14;明星,6;marc,6;索菲亚,4;emma,4;
1760027:企鹅,504;人类,280;快乐,132;世界,124;大脚,120;
10777737:f,2;不到,1;dbd,1;看得,1;痕迹,1;
3212133:熙,131;珍,107;父亲,88;生活,67;爸爸,58;
1303542:诗人,66;生活,33;石榴,31;颜色,31;火,25;
2063496:max,37;生活,25;adam,13;哥哥,12;弟弟,12;
1303274:pollock,16;波洛克,13;妻子,12;ed,11;画,11;
1482067:生活,76;女人,73;卡特,58;外婆,24;女儿,23;
3094909:pat,752;生活,514;爱,502;tiffany,461;幸福,414;
4754751:纪录片,14;拍摄,12;真实,9;创作,6;米兰,6;
3328350:地球,22;人类,11;机器人,11;级,7;停转,6;
1466259:下载,3;．,2;vaga,2;搜索,2;越多,1;
6905196:男主角,5;一下子,4;剑,4;boss,3;男一号,3;
1302927:香港,10;骠,8;生活,6;叔,5;系列,5;
4824956:－,100;通过,19;加入,14;牛奶,12;使,11;
20431610:岁月,5;小米,3;北京,2;麦田,2;片尾曲,2;
1299042:高加林,89;人生,86;巧珍,70;加林,45;生活,45;
1394410:雅各,18;南特,17;爱,15;jacques,6;致,6;
1308228:鲁冰花,90;老师,78;阿明,70;妈妈,69;画,48;
5149279:画,127;催眠,125;记忆,59;偷,56;simon,53;
1292493:博士,5;邪恶,5;男主角,4;笑,3;mike,3;
1473215:赵宝刚,4;哥们,3;孙红雷,3;大兴,3;挺,3;
1871220:boy,8;警察,8;周星驰,8;sir,5;李,5;
2085041:冬青,16;爱,14;错,7;女子,6;依然,5;
1779689:透明人,37;透明,12;2,12;特技,8;隐形,7;
1299485:费里尼,39;朱丽叶,38;丈夫,15;爱,14;女人,10;
2036588:frank,8;kim,6;奇妙,4;pixies,4;大牌,3;
1906298:企鹅,6;四个,3;老大,3;噠,3;7,2;
3725385:鬼,16;恶魔,11;恐怖,9;比如,6;恐怖片,6;
1292728:将军,202;国家,103;汉默,83;军人,76;凯奇,74;
4910169:动作,6;也好,3;执行,3;ms,3;不到,2;
10800169:妖怪,12;人类,10;恶,9;贝姆,7;人性,4;
1304536:爱,28;蜘蛛,24;爱情,23;心,21;尹子维,20;
1917311:坦克,7;武力,4;7,3;复仇,3;短片,2;
1295463:城市,19;政治,15;那不勒斯,14;rosi,10;意大利,9;
3738188:僵尸,21;病毒,8;样本,7;女子,6;名,5;
1297564:性别,10;穿,9;衣服,9;灵魂,9;上帝,8;
1940086:南瓜,144;头,73;灯,64;万圣节,64;小孩,56;
1301448:apache,6;top,5;gun,5;飞行员,4;颇,3;
1303466:,26;岛屿,11;],10;意大利,10;音乐,10;
1298516:男朋友,8;男人,8;macabea,7;生活,6;女同事,5;
1306544:恐怖片,45;朋友,40;真珠,38;恐怖,35;系列,33;
1301431:美国,95;皮特,94;福特,53;爱尔兰,30;警察,30;
1293995:北野武,92;啪啪,40;暴力,25;凶暴,23;男人,22;
3284257:青春,31;烟花,28;明天,23;海边,23;未来,22;
10771234:猪脚,7;吸血鬼,6;影评,3;血族,2;野兽,2;
1297266:彼得,16;马克斯,16;玛格丽特,15;猩猩,11;渚,8;
5265109:cut,24;艺术,21;二,17;─,16;秀,13;
10574474:蜘蛛,267;阴阳师,64;娘,48;男人,35;loli,34;
5372334:we'll,9;we,8;生命,8;她们,7;世界,7;
5201164:对白,2;topic,1;低,1;外景,1;粗糙,1;
1939414:功夫,1168;中国,1077;李连杰,784;成龙,722;王,517;
1301617:生活,780;gilbert,525;弟弟,424;母亲,386;天空,284;
1297767:」,186;「,186;董夫人,89;中国,59;唐书璇,49;
2025463:韩国,16;粥,14;」,13;「,13;庭院,13;
5948690:akb,54;梦想,45;她们,43;48,41;组合,26;
4290934:杀手,30;泰国,25;黑帮,24;黑人,23;老大,13;
1757662:魅力,19;教授,17;男人,17;韩国,11;文素利,7;
5240769:小猪,14;饼干,8;猪,6;目标,5;短片,4;
1308802:先生,31;金,30;常赫,28;警察,19;燕子,11;
1308468:母亲,30;媳妇,11;婆婆,10;母子,7;居然,7;
10749985:幸福,6;朋友,5;家人,4;陪,3;勇气,3;
1308973:公司,50;记者,34;妞妞,31;％,28;李倩妮,27;
2081871:男爵,86;战争,85;霍芬,82;里希特,71;红,70;
2381409:】,18;带来,4;若无,4;愿,3;大麦,2;
3871841:安德烈,13;灵魂,9;世界,5;医生,5;生活,5;
3819939:北野武,247;黑帮,138;暴力,111;日本,109;道,105;
1397788:rh,6;thom,5;yorke,5;画面,4;头,3;
2266464:is,5;his,4;by,3;he,3;翻译,2;
3558874:诺言,26;_,7;等待,7;画面,6;动画,6;
2362662:朋友,111;男人,63;伴郎,47;sydney,44;友情,39;
4891769:麼,79;為,77;什,50;後,46;台湾,35;
1303217:娄烨,115;紫蝴蝶,60;艺术,51;历史,44;中国,40;
6101723:後,17;网球,17;不二,12;麽,11;部,10;
5326542:她们,6;拥有,2;守护,2;akb,1;eb,1;
1309201:狮子,178;斑马,117;动物,109;企鹅,99;马达加斯加,96;
1298112:金城武,380;黎明,377;天使,367;王家卫,361;李嘉欣,331;
2028669:丁丁,1883;船长,511;历险记,481;漫画,361;斯皮尔伯格,343;
5937923:阿尔巴尼亚,13;法典,12;家庭,8;父亲,7;卡努,5;
4065330:杨恒,52;ciff,51;您,18;挺,11;光斑,11;
2051750:恐怖片,18;日本,14;恐怖,13;翻拍,13;鬼来电,11;
1307898:客栈,31;龙门客栈,21;阁,20;迎春,20;胡金铨,17;
1303277:吸血鬼,55;博士,19;dracula,7;人类,6;生命,6;
1432288:藏,161;人类,61;暴力,58;杀戮,42;杀,40;
1300056:安托万,418;特吕弗,235;老师,231;击,193;跑,171;
2363879:女演员,91;她们,72;女人,64;尹汝贞,32;崔智友,29;
4311407:啊啊啊,24;灰常,24;伯尔曼,17;穿越,13;德军,10;
1297944:凶手,12;侦探,7;主题,6;侦破,5;推理,5;
1788445:兄弟,28;间,19;生活,15;妈妈,13;宫,13;
2977365:bb,10;恐怖片,6;泰国,6;恐怖,6;阴,5;
1308662:男主角,22;年轻人,10;根本,5;钱,5;很快,5;
1292262:面条,2355;noodles,1550;max,1336;麦克斯,1047;美国,962;
19935789:人鱼,33;洲,16;少年,13;先生,10;世界,8;
1296818:波兰,7;斯基,7;记,5;狂,5;惊,4;
1293019:天堂,222;海滩,170;生活,140;richard,77;世外桃源,68;
1417485:文化,2;莫名其妙,1;学,1;内心,1;语速,1;
1418752:相信,590;巫术,567;律师,534;女主角,365;黑人,338;
3283192:卡洛斯,31;_,25;中国,25;年代,18;美国,13;
1951024:爱,11;纪子,5;男人,4;女孩,3;短片,3;
3862363:基德,2;咔,2;亲爱,1;青山刚昌,1;哇,1;
1994867:痛苦,4;深刻,4;爱,4;rob,3;moretti,3;
2326215:蔡子涵,831;青春,762;爱,677;陈柏宇,602;青青,559;
1786413:’,13;‘,13;香港,10;兵,7;旗,7;
1507158:never,85;生命,51;go,48;let,48;英雄,46;
1292272:大象,567;校园,451;生活,286;alex,284;eric,271;
2973449:照片,22;morris,12;囚,11;囚犯,9;虐,9;
1768647:冰岛,21;音乐,17;乐队,9;bjork,7;纪录片,6;
1877582:仓鼠,14;た,11;梦,11;な,10;悲伤,10;
1432234:局长,2;继续,1;路,1;果子吃,1;杀人犯,1;
1300647:女人,26;男人,14;阶级,13;爱,10;政治,6;
1779015:盖瑞,34;gehry,33;建筑,26;),15;his,13;
1464618:五壮士,7;狼牙山,5;八路军,5;中国,5;跳,3;
2330231:印度,3;刚,2;象,2;漂亮,2;很象,2;
1300765:cujo,5;圣伯纳,5;展现,4;绝对,4;小说,4;
1307144:张曼玉,20;张,20;黎明,17;黎,13;上床,7;
1797174:女孩,2;挺,2;很淡,2;爱情,2;枯叶,1;
1441763:男孩,20;同志,17;vincent,17;云生,13;老师,13;
1307786:上校,107;房子,91;生活,72;凯西,56;希望,52;
1775128:maxi,12;],7;男孩,6;花样,6;渴望,6;
10567361:阿秀,13;种,13;杀,12;借,12;阿军,9;
3902408:战争,173;坦克,150;士兵,89;黎巴嫩,84;以色列,68;
3097044:男人,119;复仇,95;女主角,62;马修,51;女人,49;
2124554:笑,4;鸽子,4;搞笑,4;wongkamlao,4;petchtai,4;
2123510:高静,583;徐克,395;李心洁,385;深海,380;国栋,282;
3289348:母亲,81;,62;婴儿,50;爱,36;医生,31;
1860453:拉,10;摇,10;路飞,10;切特,10;op,9;
3011105:未来,12;科幻片,11;世界,8;美国,8;科技,7;
1301746:汉尼拔,542;爱,146;hannibal,137;史黛琳,132;羔羊,121;
1302918:婚姻,28;爱情,15;夫妇,11;男人,10;罗斯,9;
5044744:引子,9;两岸,7;台湾,6;面,6;政治,5;
10508901:匹夫,646;黄晓明,424;日本,268;土匪,256;匪帮,173;
19975472:父亲,23;男人,11;爸爸,11;女儿,10;兽,9;
1883634:将军,5;层面,3;权贵,3;李自成,3;动画片,3;
1300592:凯瑟琳娜,18;丈夫,16;爱,14;怒气,14;皮特,12;
3626411:小时,3;puiu,3;无,3;主人公,3;可靠,2;
3346417:家庭,6;美国,6;教育,5;父母,4;一家人,4;
1998218:机器人,25;女侍,19;人类,14;の,13;」,12;
1298876:克莱尔,10;丈夫,9;恐怖,8;诺曼,6;悬疑,6;
1455769:香港,17;制作,8;karen,7;莫文蔚,6;莫理斯,6;
1306136:魔鬼,54;爱,16;女人,16;毁灭,11;性,11;
2994145:大概,3;分子,2;6,2;配合,2;这点,2;
3690289:爱,880;王平,692;娄烨,547;春风,500;爱情,470;
1296390:哈姆雷特,165;王子,46;莎士比亚,30;国王,24;经典,22;
1298638:birdy,271;鸟,218;鸟人,208;艾尔,192;世界,135;
3076035:怪物,9;俗套,4;科幻片,4;怪兽,4;事实证明,4;
1305092:非洲,118;德国,88;犹太人,51;生活,51;肯尼亚,39;
1296255:c,28;f,17;杀害,8;g,7;白人,5;
1471794:胡越,15;香港,9;许鞍华,8;菲律宾,6;生活,6;
1427656:爱人,2;7,2;情况,2;浮现,2;天亮,1;
1920138:香港,16;害怕,7;买,5;移民,5;☆,4;
1293346:昆,37;汀,30;angela,14;四个,14;服务员,14;
1470600:大鸟,52;小鸟,45;鸟,28;君子,22;小人,21;
1401256:老师,8;意义,8;兰,7;她们,6;爱情,5;
2033426:选,3;组,3;土方,2;其中,2;斋藤,2;
1300522:戈达尔,11;保罗,8;社会,8;生活,6;时代,5;
1296015:手,21;运转,21;生活,20;－,19;人生,17;
1482090:昆,164;汀,106;级,65;),57;(,56;
11599106:西藏,3;作者,3;交织,1;媒,1;亲眼,1;
2004522:gay,12;感动,6;爱,6;世界,5;鲍比,5;
3336237:_,31;迪伦,25;吻,24;黑白,23;凯莉,20;
6518749:平淡,3;生活,2;台湾人,2;不再,2;南韩,2;
1302105:同学,3;sport,3;字幕,2;harriet,2;翻译,1;
1669957:打架,27;熙,25;勇,15;泰,15;暴力,14;
4883258:丧尸,113;跑,59;新娘,57;死亡,55;僵尸,55;
1293146:加里波第,183;贵族,138;意大利,104;亲王,85;豹,70;
1432010:崔子恩,26;文化,17;影像,16;反对,16;意义,15;
6872244:老人,1557;老人院,779;父母,545;飞越,424;生活,380;
3176525:田禹治,116;韩国,71;道士,41;穿越,36;妖怪,33;
1778404:爱,9;站,8;梦想,8;音乐,8;男人,7;
20284815:要么,2;2,2;没什么,2;dbc,1;瞎逛,1;
1428514:李小龙,6;武侠片,6;李连杰,5;武侠,5;邵氏,4;
1452560:认同,75;民族,65;地域,50;形态,41;生活,37;
1305183:戴弗林,6;唐,5;成龙,3;饰,3;燕尾服,2;
3706797:懂,12;老人,11;于吉,10;寻找,9;牛,9;
1966355:标志,9;感受,5;空间,4;带来,3;爱,3;
3244444:动画,51;世界,26;4,21;c,21;制作,21;
1768303:é,16;vous,5;de,4;真相,4;jamais,3;
3182495:日本,1;主题曲,1;唯一,1;配乐,1;挺,1;
1482107:恐怖,29;动画,29;动画片,25;爱,24;房子,24;
3077739:监狱,196;马利克,128;老大,108;预言者,92;黑帮,89;
2994851:血滴,4165;子,4068;天,1633;冷,1559;狼,1437;
1483646:生活,9;卓别林,8;老婆,6;工资,5;2,4;
3093215:写实,1;黑,1;盒装,1;正在,1;装,1;
10353827:go,18;梦想,12;比赛,8;fred,5;★,5;
3892876:资本论,16;爱,15;马克思,13;智能,10;森斯坦,8;
1820056:金钱,8;爱情,4;爱,4;钱,3;男人,3;
1998458:记忆,10;guy,6;情人,4;炼,4;语言,4;
1307206:僵尸,9;外星人,8;枪,6;spierig,4;斯派瑞,4;
1305401:妻子,16;面包,12;婚姻,11;爱情,9;爱,8;
2010143:女人,9;男人,7;刀片,4;刺激,4;慢慢,3;
1293667:布努埃尔,69;达利,44;黄金时代,41;艺术,33;大师,24;
3112650:座头市,19;樋,14;口,14;由,12;雾,12;
1297548:亚瑟王,9;传说,5;超越,5;挺,4;is,4;
7064335:危机,13;李总,12;精神病,12;公关,12;厂商,8;
4305436:春娇,5038;志明,4004;爱情,3279;爱,1905;烟,1391;
1476645:猫,25;名字,22;巴黎,14;游行,8;城市,8;
1306160:成龙,111;警察,74;警察故事,48;吴彦祖,46;阿祖,37;
1307014:不见不散,75;李清,65;刘元,61;美国,46;冯小刚,45;
6008287:鱼,138;漫画,95;原著,83;感染,75;动画,74;
2270496:白蚁,42;爱,36;放弃,30;音乐,24;星球,24;
4191746:基拉,3;阿斯兰,3;青梅竹马,3;四章,2;战斗,2;
3009165:爱情,24;爱,17;d,14;男人,14;分手,10;
1297608:空战,12;空军,11;英国,9;德国,9;不列颠,8;
1419111:她们,83;母亲,58;灰色,56;花园,53;生活,50;
1298451:爱,44;爱情,24;再次,14;丈夫,14;彼此,12;
1299910:市长,47;纺织厂,19;腐败,15;市委书记,11;省委书记,10;
3360087:(,6;),6;was,6;阿姐,6;he,4;
1302745:爱情,70;爱,36;韩国,33;济州岛,33;恋,30;
3018123:地球,783;人类,760;家园,231;世界,231;资源,191;
1297418:红鱼,400;麻将,344;杨德昌,276;香港,216;父亲,207;
1306564:哑,208;阿美,207;叔,200;卖,97;酒,91;
2299110:男人,34;妹妹,27;姐姐,20;她们,17;尸体,16;
1427039:*,37;elinor,14;mary,10;小说,5;rod,4;
4324768:」,8;「,8;恐怖片,4;厉鬼,4;後,4;
1770980:纳粹,27;犹太人,25;集中营,16;二战,12;索比堡,12;
3233635:熊猫,2924;中国,2506;功夫,2180;阿宝,1858;2,1165;
2213632:爱情,14;印度,12;国家,8;生活,8;男人,7;
1308275:女人,99;miki,97;男人,76;michelle,46;michele,40;
1300353:保罗,344;娜,259;爱,240;爱情,195;男人,195;
2136208:小凤,2;陆小凤,2;原著,2;挺,2;张智霖,2;
5684122:f,2;能力,2;混乱,1;正,1;说辞,1;
4078562:刹,386;喜剧,308;笑,280;孙红雷,269;决战,236;
1296762:威利,34;米勒,27;u,17;梦想,17;社会,17;
3062740:游击队,4;_,4;平原,4;中国,4;影碟,3;
1296196:黑泽明,229;乱,226;三,149;郎,147;虎,144;
1437755:苏,40;男人,17;孤独,15;钱,14;女人,14;
1303084:索菲亚,14;性,13;意大利,12;生活,10;妓女,10;
1947722:音乐节,15;音乐,9;乐队,6;格拉,6;斯顿伯,6;
1416912:鲸鱼,42;爱,21;妓女,17;洛拉,13;巴塔哥尼亚,13;
5969389:in,57;诗,54;is,41;周公,41;纪录片,30;
1420003:逻辑,2;小女孩,2;看吧,1;57,1;332,1;
1308229:越南,7;人民,4;部队,2;鸣谢,2;人民政府,1;
1958958:leo,15;同志,10;brendan,6;．,5;性向,4;
1303016:法国,46;自由,44;marie,26;aleksei,24;苏联,21;
4995724:jane,4;见面,3;接受,3;棺材,3;辛苦,2;
1306508:黑人,10;克里斯,7;小子,6;嘘声,6;笑,5;
4925460:纪录片,34;生活,34;生活史,30;黄羊,29;丛峰,29;
2361266:爱,547;优,507;洋,337;子,321;父亲,218;
1869834:当初,2;怀念,1;衰老,1;黄昏时分,1;颜色,1;
1300112:廉署,2;反而,2;父,2;帝国,1;口中,1;
3102378:烂,2;恐怖片,1;真他妈,1;d,1;之一,1;
1303011:吴君如,6;鬼片,4;女鬼,4;鬼,4;表演,3;
2348615:卡普汀,19;乐,15;尼,15;西德,9;乐队,8;
1963112:雅克,60;伯爵,39;01,23;英雄,18;法国,17;
1421292:答案,2;幸福,2;潸然泪下,1;驻足,1;脱口而出,1;
2081883:妹妹,34;奥斯卡,31;黑人,26;－,17;梦境,16;
1301232:希区柯克,12;悬念,12;紧张,8;尸体,6;哈里,5;
5159187:创作,19;短片,16;思维,15;长片,8;浓缩,5;
3632509:王子,196;泪,173;杨凡,151;爱,127;台湾,83;
1304337:爱,267;小马,196;生活,177;cindy,175;eva,174;
3250894:barbara,6;steele,3;观看,3;复仇,3;扮演,3;
1588945:飞机,225;美国,173;乘客,167;航班,151;恐怖分子,114;
1298616:,52;爱,44;生活,40;战争,38;地铁,38;
1297373:that,53;’,30;my,29;this,26;was,25;
1305869:caine,4;年代,4;michael,4;mini,4;英国人,3;
2374469:黑道,22;白道,13;卧底,13;老大,12;永远,7;
1307910:特务,8;反,5;特,5;黑,4;清,4;
2033970:fanny,44;奥斯汀,24;女主角,20;版,19;jane,18;
1301156:恐怖,22;恐怖片,15;三个,12;．,8;编剧,8;
1292895:陈真,67;光子,65;中国,42;日本,39;武术,37;
1303578:穷人,48;豆豆,26;．,24;男主角,19;淘淘,18;
2298538:仅仅,3;火车,3;猜,3;吸毒,3;怪胎,3;
3018644:花,23;妈,19;生活,18;橘子,14;柚子,11;
2132510:战争,27;美国,20;讽刺,17;cusack,13;库萨克,11;
1301236:纽曼,76;希区柯克,30;朱莉,28;教授,22;组织,17;
6984070:惠香,150;爱,150;舒淇,149;惠宝,121;姐姐,120;
3715747:军阀,15;李翰祥,7;狄娜,6;庞大,6;此片,6;
1301170:舞蹈,26;sara,20;derek,14;hip,13;黑人,13;
5313246:政府,16;黑势力,7;阴谋论,6;政治,5;朝鲜,5;
